,GDX,GDX,GDX,GDX,GDX,GDX,GDX,GDX,GDX,GDX,GDX,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLF,XLF,XLF,XLF,XLF,XLF,XLF,XLF,XLF,XLF,XLF,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLU,XLU,XLU,XLU,XLU,XLU,XLU,XLU,XLU,XLU,XLU,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLV
,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume,BB_LOWER,BB_MIDDLE,BB_UPPER,SIGNAL,close,dividends,high,low,open,stock splits,volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-07,,,,0.0,20.318904876708984,0.0,20.52008311155177,20.117728469081527,20.453024309009283,0,57304600,,,,0.0,29.945741653442383,0.0,30.405119789108934,29.64905834359376,30.27113313048469,0,17125200,,,,0.0,50.06585311889648,0.0,50.136244359073,49.50269932795565,49.97981540264818,0,16036700,,,,0.0,22.66471099853516,0.0,22.709950979459126,22.51089851485129,22.628520739524795,0,59432400,,,,0.0,62.724876403808594,0.0,62.91672268863088,62.34117686427175,62.39599506700117,0,4166700,,,,0.0,47.63086318969727,0.0,47.79688741591256,47.49979511631525,47.70076882879515,0,9841500,,,,0.0,43.78107452392578,0.0,43.99364528085312,43.696044275011445,43.738557777682445,0,13263000,,,,0.0,72.74851989746094,0.0,72.83116443516417,72.45466097537829,72.63832017437393,0,4371400
2017-07-10,,,,0.0,20.60630226135254,0.0,20.740419867526573,20.10814854239849,20.146468902571268,0,52988200,,,,0.0,30.682661056518555,0.0,30.720939828678404,29.63948693539074,29.63948693539074,0,14885900,,,,0.0,50.23011779785156,0.0,50.34744252802185,49.88596684732101,49.99546833751097,0,14153800,,,,0.0,22.63756561279297,0.0,22.69185185668397,22.556135384092173,22.62851761785637,0,55022500,,,,0.0,62.90760040283203,0.0,63.199938665286304,62.60612460939339,62.67921091748045,0,7919500,,,,0.0,47.29882049560547,0.0,47.67455496533088,47.23765472921149,47.67455496533088,0,9119200,,,,0.0,43.74707412719727,0.0,44.01065986041303,43.7130620185329,43.90862677799316,0,16313800,,,,0.0,72.61077117919922,0.0,72.80361543782243,72.42711198226739,72.77606725889757,0,3580000
2017-07-11,,,,0.0,20.73083877563477,0.0,20.82663784422173,20.36680450766259,20.615881355102605,0,35247100,,,,0.0,30.797504425048828,0.0,30.85492805904245,30.089296034451603,30.63480595413995,0,8459900,,,,0.0,50.503868103027344,0.0,50.68376680608957,50.0032881910932,50.31615212789785,0,11899800,,,,0.0,22.43851089477539,0.0,22.62851531767287,22.375176662385694,22.619467323656,0,49857200,,,,0.0,62.852783203125,0.0,62.95327512475234,62.414272366033565,62.90759444405144,0,7683500,,,,0.0,47.16775131225586,0.0,47.35998849185047,47.062896183969904,47.34251208158874,0,11256400,,,,0.0,43.7215576171875,0.0,43.81508928180581,43.50898683162691,43.81508928180581,0,9055900,,,,0.0,72.52812194824219,0.0,72.72096619438408,72.16079657200338,72.56484818033213,0,4117500
2017-07-12,,,,0.0,20.82663917541504,0.0,21.133194752715497,20.788320641860167,21.01823732483551,0,39815200,,,,0.0,30.9123477935791,0.0,31.35258469821752,30.86449659104236,31.132466245898307,0,9287200,,,,0.0,50.64464569091797,0.0,51.12958498710396,50.425642772441066,51.00443705232746,0,14818600,,,,0.0,22.510894775390625,0.0,22.52899076475415,22.375178306621272,22.438512543665063,0,47818600,,,,0.0,63.199928283691406,0.0,63.49226649812447,63.12684198760994,63.2090658131748,0,5821800,,,,0.0,47.42989349365234,0.0,47.595917733926825,47.39494400442816,47.46484631616114,0,8100800,,,,0.0,44.09568786621094,0.0,44.22322840178879,44.01916224743501,44.10418927115358,0,12143000,,,,0.0,73.02400207519531,0.0,73.2627646171616,72.86789106958796,72.8862611915116,0,8808200
2017-07-13,,,,0.0,20.596723556518555,0.0,20.960757866565935,20.577563375143573,20.85538052343445,0,42072200,,,,0.0,30.519962310791016,0.0,31.046332844103112,30.414689299372423,30.912348015712336,0,8345500,,,,0.0,50.8480224609375,0.0,50.88712672606189,50.40219326031059,50.68377022569428,0,10056800,,,,0.0,22.64661407470703,0.0,22.64661407470703,22.49280160907039,22.510895873588115,0,48875900,,,,0.0,63.15424728393555,0.0,63.40091178947875,63.00808166241121,63.26387672749839,0,3938800,,,,0.0,47.43863677978516,0.0,47.5434919215727,47.39494741514741,47.4910626840365,0,10008200,,,,0.0,43.94262313842773,0.0,44.18920597251376,43.90861104195269,44.07016687842314,0,6921000,,,,0.0,73.08829498291016,0.0,73.31787250001615,72.59241371137307,73.08829498291016,0,9437700
2017-07-14,,,,0.0,20.884117126464844,0.0,21.094875448571504,20.884117126464844,21.03739490951589,0,47456100,,,,0.0,31.008056640625,0.0,31.24731632565818,30.893209363223672,31.046335415612383,0,12389200,,,,0.0,51.15306091308594,0.0,51.24691591913416,50.8323737293988,50.8793071998063,0,10272500,,,,0.0,22.547088623046875,0.0,22.5832788790452,22.24851167671383,22.366132165869228,0,61742300,,,,0.0,63.42831039428711,0.0,63.565345441114765,63.135972213671046,63.25473220364594,0,5519200,,,,0.0,47.814361572265625,0.0,47.88426387478478,47.63960081604149,47.65707722499232,0,6341100,,,,0.0,44.14669036865234,0.0,44.35075970919342,44.09567546619617,44.231720612032845,0,12607500,,,,0.0,73.58418273925781,0.0,73.74030077445765,73.09747952742535,73.24441250028408,0,5750000
2017-07-17,,,,0.0,21.056554794311523,0.0,21.23857284434128,21.056554794311523,21.11403533256215,0,28408400,,,,0.0,31.352584838867188,0.0,31.53442452046039,31.20903123061297,31.26645121358956,0,9437500,,,,0.0,51.09048461914063,0.0,51.44245281066298,51.01227012851156,51.05919762941237,0,12214900,,,,0.0,22.47470474243164,0.0,22.52899098532517,22.38422652045673,22.483752737201986,0,43257000,,,,0.0,63.39179229736328,0.0,63.492284240083045,63.2090834759972,63.38265476532654,0,5113400,,,,0.0,47.86678314208984,0.0,47.91921236420648,47.72697521639604,47.901735956834266,0,7902200,,,,0.0,44.35076522827149,0.0,44.35076522827149,44.07867490273879,44.17220656031051,0,7669000,,,,0.0,73.31788635253906,0.0,73.73113016509711,73.299523230407,73.67603379254983,0,5743700
2017-07-18,,,,0.0,21.2098331451416,0.0,21.33437248748248,21.19067479242521,21.29605212761903,0,30865800,,,,0.0,31.515287399291992,0.0,31.735405881165924,31.39087133534125,31.620562249495443,0,8896100,,,,0.0,50.8480224609375,0.0,51.364242919218505,50.636836753207895,51.34860240664548,0,14956800,,,,0.0,22.43851089477539,0.0,22.474702870842872,22.293746441962263,22.32089042401288,0,63210700,,,,0.0,63.24560546875,0.0,63.37350299488358,63.06288973863602,63.29127917385917,0,6891100,,,,0.0,47.86678314208984,0.0,47.94542530862286,47.71823867935187,47.8318336606293,0,5310800,,,,0.0,44.478309631347656,0.0,44.52932454089075,44.33375981930619,44.45279893300352,0,7890400,,,,0.0,73.37297058105469,0.0,73.44643706271057,72.87708233910143,73.22603761774292,0,8042700
2017-07-19,,,,0.0,21.24815368652344,0.0,21.34395275978512,21.085295810143176,21.21941341638033,0,27487200,,,,0.0,31.390871047973636,0.0,31.658844387169232,31.1803250003074,31.43872225649718,0,6631900,,,,0.0,51.591064453125,0.0,51.63799195396496,50.754156872974725,50.793267101930105,0,24802700,,,,0.0,22.44756126403809,0.0,22.54708748302644,22.36613103499827,22.483753243935155,0,48259400,,,,0.0,63.309547424316406,0.0,63.30954742431641,63.035477343561645,63.135969241845615,0,8864600,,,,0.0,48.04155349731445,0.0,48.04155349731445,47.78815053962846,47.84931631103066,0,5592000,,,,0.0,44.665374755859375,0.0,44.68238080882077,44.42729650154563,44.55484027696968,0,10669400,,,,0.0,73.9698715209961,0.0,73.9698715209961,73.68519066367072,73.68519066367072,0,8177900
2017-07-20,,,,0.0,21.38226890563965,0.0,21.478067968206307,21.18109251874329,21.219411047440875,0,25254900,,,,0.0,31.543994903564453,0.0,31.706693382161912,31.237742809418236,31.40044128801569,0,7297800,,,,0.0,51.43463134765625,0.0,52.06817642772579,51.29384288904273,51.8804604720353,0,17159300,,,,0.0,22.43851089477539,0.0,22.56518108528318,22.39327265041944,22.465654876826,0,40163500,,,,0.0,62.95326232910156,0.0,63.40090363543259,62.87103851453112,63.36436049227816,0,7428000,,,,0.0,48.05028533935547,0.0,48.198829806998006,47.91921394637818,48.006592652840375,0,9816700,,,,0.0,44.98847579956055,0.0,44.99697720284215,44.67387198098248,44.78440644150543,0,8462500,,,,0.0,74.45657348632812,0.0,74.57595125931219,74.02496668270638,74.14434445569046,0,8276800
2017-07-21,,,,0.0,21.468490600585938,0.0,21.58344985568125,21.343953082513437,21.55470958510358,0,21535000,,,,0.0,31.71626091003418,0.0,31.83110452809929,31.53442487719669,31.802394536286208,0,7243700,,,,0.0,50.92623519897461,0.0,51.50502962231661,50.85583797636921,51.26256289781863,0,13047600,,,,0.0,22.43851089477539,0.0,22.510893121181955,22.375176662385694,22.375176662385694,0,39108400,,,,0.0,62.83450698852539,0.0,62.861912608485135,62.43253930940076,62.64266067891405,0,7600500,,,,0.0,48.12894058227539,0.0,48.14641366168704,47.8405847727097,47.88427413780863,0,7738700,,,,0.0,45.31157684326172,0.0,45.31157684326171,44.84392189363414,44.99696983264175,0,9252000,,,,0.0,74.37390899658203,0.0,74.48410869517498,74.2453461846308,74.30044953700117,0,4043600
2017-07-24,,,,0.0,21.123615264892575,0.0,21.53555001884273,21.046976368382,21.52596992837698,0,45649400,,,,0.0,31.084617614746094,0.0,31.811969096398474,30.950632776234613,31.802396664611635,0,11611700,,,,0.0,50.832366943359375,0.0,51.11394385868076,50.71504223407836,51.035729374954286,0,10433400,,,,0.0,22.53804588317871,0.0,22.56518987580357,22.42947336413744,22.42947336413744,0,26364800,,,,0.0,62.69746780395508,0.0,62.861908482814336,62.60611342012055,62.7705540989798,0,7551700,,,,0.0,47.971656799316406,0.0,48.13767772207592,47.93670397348758,48.11146476934676,0,9302400,,,,0.0,44.88644409179688,0.0,45.33709308143598,44.81841988920928,45.33709308143598,0,10534800,,,,0.0,74.34638214111328,0.0,74.41984862790727,74.02497501907685,74.30964889771629,0,4476800
2017-07-25,,,,0.0,21.334373474121094,0.0,21.449330904597154,21.171515591600496,21.171515591600496,0,34211800,,,,0.0,30.92192268371582,0.0,31.41001082970739,30.8549302646741,31.122899940840995,0,6383100,,,,0.0,51.4737434387207,0.0,51.84135813478293,51.32513768623649,51.44245644678099,0,15479300,,,,0.0,22.81852149963379,0.0,22.90899972789172,22.75518725757184,22.79137923916648,0,75786800,,,,0.0,62.61524963378906,0.0,63.01721727808607,62.43253390006653,63.01721727808607,0,9077100,,,,0.0,48.30369186401367,0.0,48.33864468493586,48.09398160504951,48.13767096456,0,13799900,,,,0.0,44.63136291503906,0.0,44.92045930894419,44.58034475955955,44.79291554203176,0,10568100,,,,0.0,73.81375122070312,0.0,74.57595016028561,73.70355851069527,74.52085380528169,0,8486000
2017-07-26,,,,0.0,21.88042640686035,0.0,22.09118291969984,21.200254587834188,21.219414769151086,0,63816900,,,,0.0,32.07993698120117,0.0,32.338337862814164,30.88363863159259,30.921921054975147,0,20244400,,,,0.0,51.52849197387695,0.0,52.12293286048232,51.38770349987524,51.76314141967424,0,21211400,,,,0.0,22.66471099853516,0.0,22.88185945551258,22.610424747155207,22.845667470773403,0,56086500,,,,0.0,62.69746780395508,0.0,62.79795971714089,62.55130218379837,62.79795971714089,0,6804000,,,,0.0,48.29494857788086,0.0,48.41728010073245,48.14640077635823,48.31242498590023,0,7594000,,,,0.0,45.05649948120117,0.0,45.05649948120117,44.55483236048116,44.62285331666788,0,8631200,,,,0.0,73.5658187866211,0.0,73.72192981390116,73.36378945430587,73.64846332830476,0,4964100
2017-07-27,,,,0.0,21.621768951416016,0.0,22.024123613888047,21.51638978377333,22.0145435234464,0,50762200,,,,0.0,31.515287399291992,0.0,32.20435649094133,31.36216134012694,32.03208921802899,0,12767200,,,,0.0,52.05253601074219,0.0,52.07599975932256,51.30948349052898,51.544132911097925,0,15815900,,,,0.0,22.53804588317871,0.0,22.719002382552937,22.438519635949984,22.70995438501132,0,67826200,,,,0.0,62.34119415283203,0.0,62.633532425522326,62.03972531873163,62.633532425522326,0,9900900,,,,0.0,48.76681137084961,0.0,48.77554790996871,48.3036947987052,48.329911082631845,0,12859000,,,,0.0,45.16702651977539,0.0,45.1670265197754,44.87793020544081,44.92894834687815,0,9586900,,,,0.0,73.06072998046875,0.0,73.63926967430976,72.75769305233338,73.63926967430976,0,12536800
2017-07-28,,,,0.0,21.94748306274414,0.0,21.97622333190208,21.66008768002587,21.727146480845786,0,40162900,,,,0.0,32.19477844238281,0.0,32.26177085340508,31.630125513186144,31.630125513186144,0,15511200,,,,0.0,51.98996353149414,0.0,52.50618391725649,51.79442433119057,51.88046205671476,0,14765000,,,,0.0,22.53804588317871,0.0,22.60138014024097,22.4113773690542,22.501855618741317,0,43735800,,,,0.0,62.487342834472656,0.0,62.53301653370768,62.14018647685043,62.2772215143386,0,11435700,,,,0.0,48.35611343383789,0.0,48.819226571185375,47.68328673746886,48.618252882651866,0,18412200,,,,0.0,45.09901428222656,0.0,45.22655479508696,44.88644351722011,45.09901428222656,0,9639000,,,,0.0,73.42806243896484,0.0,73.519892032332,72.77606321806454,73.08828523674262,0,6426100
